word	sentence	translation	difficulty_rank	transliteration	source
چراغ	چراغ را خاموش می‌کنید؟	Will you turn off the light?	2385		tatoeba
خاموش	چراغ را خاموش می‌کنید؟	Will you turn off the light?	2385		tatoeba
عاشق	من عاشق گربه ها هستم.	I love cats.	2393		tatoeba
گربه	من عاشق گربه ها هستم.	I love cats.	2393		tatoeba
ارزش	آیا این ارزش پیگیری دارد؟	Is this worth pursuing?	2399		tatoeba
پیگیری	آیا این ارزش پیگیری دارد؟	Is this worth pursuing?	2399		tatoeba
کنم	تا ساعت هشت چه کار کنم؟!	What should I do until 8 o'clock?!	2400		tatoeba
هشت	تا ساعت هشت چه کار کنم؟!	What should I do until 8 o'clock?!	2400		tatoeba
کنم	من هفته ای دو بار پیاده روی می کنم.	I jog twice a week.	2400		tatoeba
هفته	من هفته ای دو بار پیاده روی می کنم.	I jog twice a week.	2400		tatoeba
مسئله	فکر می‌کنم برای او امکان دارد که مسئله را حل کند.	I think it's impossible for him to solve the problem.	2400		tatoeba
امکان	فکر می‌کنم برای او امکان دارد که مسئله را حل کند.	I think it's impossible for him to solve the problem.	2400		tatoeba
کنم	فکر می‌کنم برای او امکان دارد که مسئله را حل کند.	I think it's impossible for him to solve the problem.	2400		tatoeba
حل	فکر می‌کنم برای او امکان دارد که مسئله را حل کند.	I think it's impossible for him to solve the problem.	2400		tatoeba
ظرف	این کار را ظرف پنج روز تمام می‌کنم.	I will finish the work in five days.	2400		tatoeba
پنج	این کار را ظرف پنج روز تمام می‌کنم.	I will finish the work in five days.	2400		tatoeba
حمام	من هر روز حمام می کنم.	I bathe every day.	2400		tatoeba
حمام	روزانه حمام می کنم.	I bathe daily.	2400		tatoeba
روزانه	روزانه حمام می کنم.	I bathe daily.	2400		tatoeba
ایده	من باید با این ایده مخالفت کنم.	I have to oppose this idea.	2400		tatoeba
مخالفت	من باید با این ایده مخالفت کنم.	I have to oppose this idea.	2400		tatoeba
رشته	من در رشته زبان فارسی تحصیل می کنم.	I am reading Persian.	2400		tatoeba
تحصیل	من در رشته زبان فارسی تحصیل می کنم.	I am reading Persian.	2400		tatoeba
پیشنهاد	فکر می‌کنم پیشنهاد او ارزش بررسی کردن را دارد.	I think his suggestion is worth considering.	2400		tatoeba
ارزش	فکر می‌کنم پیشنهاد او ارزش بررسی کردن را دارد.	I think his suggestion is worth considering.	2400		tatoeba
بررسی	فکر می‌کنم پیشنهاد او ارزش بررسی کردن را دارد.	I think his suggestion is worth considering.	2400		tatoeba
فردا	تا فردا باید این نامه را به فرانسوی ترجمه کنم.	I must put this letter into French by tomorrow.	2400		tatoeba
پس	من فکر می‌کنم, پس هستم.	I think, therefore I am.	2400		tatoeba
آلمانی	اوّلین بار است که با یک آلمانی به آلمانی صحبت می‌کنم.	This is my first time speaking German with a German person.	2400		tatoeba
امشب	باید امشب کار کنم.	I have to work tonight.	2400		tatoeba
وکیل	فکر می‌کنم که او وکیل است.	I doubt that he's a lawyer.	2400		tatoeba
تحصیل	من در مدرسه تحصیل می کنم.	I study at school.	2400		tatoeba
استفاده	آن کامپیوتر را استفاده می‌کنم.	I use that computer.	2400		tatoeba
کامپیوتر	آن کامپیوتر را استفاده می‌کنم.	I use that computer.	2400		tatoeba
دشوار	من فکر کنم که انجام آن دشوار می‌بود.	I think it would have been difficult to do that.	2400		tatoeba
جعبه	این جعبه برای من بیش از اندازه سنگین است که تنها بلند کنم.	This box is too heavy for me alone to lift.	2400		tatoeba
بیش	این جعبه برای من بیش از اندازه سنگین است که تنها بلند کنم.	This box is too heavy for me alone to lift.	2400		tatoeba
سنگین	این جعبه برای من بیش از اندازه سنگین است که تنها بلند کنم.	This box is too heavy for me alone to lift.	2400		tatoeba
بلند	این جعبه برای من بیش از اندازه سنگین است که تنها بلند کنم.	This box is too heavy for me alone to lift.	2400		tatoeba
پس	من فکر می‌کنم که فکر می‌کنم، پس من فکر می‌کنم که هستم.	I think that I think, therefore I think that I am.	2400		tatoeba
طبقه	در یک ساختمانِ دو طبقه‌ای زندگی می‌کنم.	I live in a two-storey building.	2400		tatoeba
طبقه	من در یک ساختمانِ دو طبقه‌ای زندگی می‌کنم.	I live in a two-storey building.	2400		tatoeba
قطر	من در قطر زندگی می‌کنم.	I live in Qatar.	2400		tatoeba
جامعه	جامعه متشکل از اشخاص است.	The community is made up of individuals.	2403		tatoeba
متشکل	جامعه متشکل از اشخاص است.	The community is made up of individuals.	2403		tatoeba
اشخاص	جامعه متشکل از اشخاص است.	The community is made up of individuals.	2403		tatoeba
شخص	جمع شخص، مردم است نه اشخاص.	The plural of 'person' is 'people', not 'persons'.	2403		tatoeba
اشخاص	جمع شخص، مردم است نه اشخاص.	The plural of 'person' is 'people', not 'persons'.	2403		tatoeba
جمع	جمع شخص، مردم است نه اشخاص.	The plural of 'person' is 'people', not 'persons'.	2403		tatoeba
سرقت	ماشین سرقت شد.	The car was stolen.	2415		tatoeba
زندانی	زندانی زیر شکنجه مرد.	The prisoner died under torture.	2418		tatoeba
زیر	زندانی زیر شکنجه مرد.	The prisoner died under torture.	2418		tatoeba
شکنجه	زندانی زیر شکنجه مرد.	The prisoner died under torture.	2418		tatoeba
شواهد	شواهد کاملاً فرعی هستند.	The evidence is purely circumstantial.	2421		tatoeba
فرعی	شواهد کاملاً فرعی هستند.	The evidence is purely circumstantial.	2421		tatoeba
ماجرا	چه کسی ماجرا را به تو گفت؟	Who told you the story?	2423		tatoeba
نیاز	چند کپی نیاز داری؟	How many copies do you need?	2429		tatoeba
کپی	چند کپی نیاز داری؟	How many copies do you need?	2429		tatoeba
اصرار	او اصرار کرد دوباره فکر کنم.	He urged me to think again.	2431		tatoeba
دوباره	او اصرار کرد دوباره فکر کنم.	He urged me to think again.	2431		tatoeba
اصرار	او همیشه به اشتباه خود اصرار می‌کند.	He always insists on his mistake.	2431		tatoeba
تعهد	عشق یک احساس نیست. یک تعهد است.	Love isn't a feeling. It's a commitment.	2432		tatoeba
احساس	عشق یک احساس نیست. یک تعهد است.	Love isn't a feeling. It's a commitment.	2432		tatoeba
خیر	صبح به خیر!	Good morning!	2433		tatoeba
صبح	صبح به خیر!	Good morning!	2433		tatoeba
خیر	روز به خیر	Good day!	2433		tatoeba
خیر	وقت به خیر	Good day!	2433		tatoeba
وقت	وقت به خیر	Good day!	2433		tatoeba
ظهر	بعد از ظهر به خیر.	Good afternoon.	2433		tatoeba
عصر	عصر به خیر.	Good evening.	2433		tatoeba
عصر	عصر به خیر؛ حال شما چطور است؟	Good evening; how're you doing?	2433		tatoeba
عصر	عصر به خیر. حال شما چطور است؟	Good evening. How's it going?	2433		tatoeba
استفاده	سوء استفاده از بچه اشتباه است.	Child abuse is wrong.	2438		tatoeba
سوء	سوء استفاده از بچه اشتباه است.	Child abuse is wrong.	2438		tatoeba
بچه	سوء استفاده از بچه اشتباه است.	Child abuse is wrong.	2438		tatoeba
مهندس	پدر من مهندس الکترونیک است.	My father is an electric engineer.	2447		tatoeba
الکترونیک	پدر من مهندس الکترونیک است.	My father is an electric engineer.	2447		tatoeba
بچه	ما دو بچه داریم.	We have two children.	2454		tatoeba
داریم	ما دو بچه داریم.	We have two children.	2454		tatoeba
داریم	زندگی واقعاً ساده است، اما ما اصرار داریم آن را پیچیده کنیم.	Life is really simple, but we insist on making it complicated.	2454		tatoeba
اصرار	زندگی واقعاً ساده است، اما ما اصرار داریم آن را پیچیده کنیم.	Life is really simple, but we insist on making it complicated.	2454		tatoeba
پیچیده	زندگی واقعاً ساده است، اما ما اصرار داریم آن را پیچیده کنیم.	Life is really simple, but we insist on making it complicated.	2454		tatoeba
قرارداد	ما یک قرارداد داریم.	We have a contract.	2454		tatoeba
داریم	ما یک قرارداد داریم.	We have a contract.	2454		tatoeba
اصلی	ازدواج عامل اصلی طلاق است.	Marriage is the main cause of divorce.	2461		tatoeba
عامل	ازدواج عامل اصلی طلاق است.	Marriage is the main cause of divorce.	2461		tatoeba
طلاق	ازدواج عامل اصلی طلاق است.	Marriage is the main cause of divorce.	2461		tatoeba
چون	در قطار راحت جا پیدا می‌شد، چون تعداد مسافران خیلی کم بود.	It was easy to find seats in the train because there were so few passengers.	2464		tatoeba
قطار	در قطار راحت جا پیدا می‌شد، چون تعداد مسافران خیلی کم بود.	It was easy to find seats in the train because there were so few passengers.	2464		tatoeba
راحت	در قطار راحت جا پیدا می‌شد، چون تعداد مسافران خیلی کم بود.	It was easy to find seats in the train because there were so few passengers.	2464		tatoeba
جا	در قطار راحت جا پیدا می‌شد، چون تعداد مسافران خیلی کم بود.	It was easy to find seats in the train because there were so few passengers.	2464		tatoeba
مسافران	در قطار راحت جا پیدا می‌شد، چون تعداد مسافران خیلی کم بود.	It was easy to find seats in the train because there were so few passengers.	2464		tatoeba
تعداد	در قطار راحت جا پیدا می‌شد، چون تعداد مسافران خیلی کم بود.	It was easy to find seats in the train because there were so few passengers.	2464		tatoeba
شماره	این شماره چک من است.	This is my check number.	2471		tatoeba
چک	این شماره چک من است.	This is my check number.	2471		tatoeba
طبیعی	آیا همهٔ سیستم‌ها به طور طبیعی به سوی وضعیت تعادل تحول پیدا می‌کنند؟	Do all systems naturally evolve towards an equilibrium state?	2480		tatoeba
سوی	آیا همهٔ سیستم‌ها به طور طبیعی به سوی وضعیت تعادل تحول پیدا می‌کنند؟	Do all systems naturally evolve towards an equilibrium state?	2480		tatoeba
تعادل	آیا همهٔ سیستم‌ها به طور طبیعی به سوی وضعیت تعادل تحول پیدا می‌کنند؟	Do all systems naturally evolve towards an equilibrium state?	2480		tatoeba
تحول	آیا همهٔ سیستم‌ها به طور طبیعی به سوی وضعیت تعادل تحول پیدا می‌کنند؟	Do all systems naturally evolve towards an equilibrium state?	2480		tatoeba
سیستم	آیا همهٔ سیستم‌ها به طور طبیعی به سوی وضعیت تعادل تحول پیدا می‌کنند؟	Do all systems naturally evolve towards an equilibrium state?	2480		tatoeba
وضعیت	آیا همهٔ سیستم‌ها به طور طبیعی به سوی وضعیت تعادل تحول پیدا می‌کنند؟	Do all systems naturally evolve towards an equilibrium state?	2480		tatoeba
ترس	به جلو! بدون توقف، بدون ترس.	Forwards! Without stopping without fearing!	2481		tatoeba
جلو	به جلو! بدون توقف، بدون ترس.	Forwards! Without stopping without fearing!	2481		tatoeba
توقف	به جلو! بدون توقف، بدون ترس.	Forwards! Without stopping without fearing!	2481		tatoeba
توقف	چند مدت ما اینجا توقف می کنیم؟	How long do we stop here?	2481		tatoeba
سرعت	فاصله لازم برای توقف یک ماشین معمولی که با سرعت ۸۰ کیلومتر در ساعت حرکت می کند ۵۳ متر است.	The stopping distance for an average car travelling 80km/h is 53m.	2481		tatoeba
توقف	فاصله لازم برای توقف یک ماشین معمولی که با سرعت ۸۰ کیلومتر در ساعت حرکت می کند ۵۳ متر است.	The stopping distance for an average car travelling 80km/h is 53m.	2481		tatoeba
متر	فاصله لازم برای توقف یک ماشین معمولی که با سرعت ۸۰ کیلومتر در ساعت حرکت می کند ۵۳ متر است.	The stopping distance for an average car travelling 80km/h is 53m.	2481		tatoeba
کیلومتر	فاصله لازم برای توقف یک ماشین معمولی که با سرعت ۸۰ کیلومتر در ساعت حرکت می کند ۵۳ متر است.	The stopping distance for an average car travelling 80km/h is 53m.	2481		tatoeba
فاصله	فاصله لازم برای توقف یک ماشین معمولی که با سرعت ۸۰ کیلومتر در ساعت حرکت می کند ۵۳ متر است.	The stopping distance for an average car travelling 80km/h is 53m.	2481		tatoeba
معمولی	فاصله لازم برای توقف یک ماشین معمولی که با سرعت ۸۰ کیلومتر در ساعت حرکت می کند ۵۳ متر است.	The stopping distance for an average car travelling 80km/h is 53m.	2481		tatoeba
لازم	فاصله لازم برای توقف یک ماشین معمولی که با سرعت ۸۰ کیلومتر در ساعت حرکت می کند ۵۳ متر است.	The stopping distance for an average car travelling 80km/h is 53m.	2481		tatoeba
فرو	هر سال کم کم جزیره در آب فرو می‌رود.	Water is engulfing that island little by little every year.	2488		tatoeba
جزیره	هر سال کم کم جزیره در آب فرو می‌رود.	Water is engulfing that island little by little every year.	2488		tatoeba
ستاره	چند ستاره در آسمان شب شروع به پدیدار شدن کردند.	Some stars began to appear in the night sky.	2498		tatoeba
پدیدار	چند ستاره در آسمان شب شروع به پدیدار شدن کردند.	Some stars began to appear in the night sky.	2498		tatoeba
آسمان	چند ستاره در آسمان شب شروع به پدیدار شدن کردند.	Some stars began to appear in the night sky.	2498		tatoeba
تشدید	این به تدریج تشدید شد.	It gradually escalated.	2502		tatoeba
تدریج	این به تدریج تشدید شد.	It gradually escalated.	2502		tatoeba
دموکراسی	زنده باد دموکراسی!	Long live democracy!	2505		tatoeba
شمرده	شمرده‌تر صحبت کنید.	Speak more slowly.	2510		tatoeba
توضیح	او مفصل توضیح داد.	He explained it in detail.	2517		tatoeba
مفصل	او مفصل توضیح داد.	He explained it in detail.	2517		tatoeba
آمدن	من او را وادار به آمدن می کنم.	I am persuading him to come.	2521		tatoeba
وادار	من او را وادار به آمدن می کنم.	I am persuading him to come.	2521		tatoeba
داشتن	دوست داشتن نصف ایمان است.	Loving is half of believing.	2530		tatoeba
نصف	دوست داشتن نصف ایمان است.	Loving is half of believing.	2530		tatoeba
ایمان	دوست داشتن نصف ایمان است.	Loving is half of believing.	2530		tatoeba
کوه	ایمان کوه را جا‌به‌جا می‌کند.	Faith moves mountains.	2530		tatoeba
جا	ایمان کوه را جا‌به‌جا می‌کند.	Faith moves mountains.	2530		tatoeba
ایمان	ایمان کوه را جا‌به‌جا می‌کند.	Faith moves mountains.	2530		tatoeba
شیمی	امتحان شامل ریاضیات، فیزیک و شیمی بود.	The exam included mathematics, physics and chemistry.	2538		tatoeba
ریاضیات	امتحان شامل ریاضیات، فیزیک و شیمی بود.	The exam included mathematics, physics and chemistry.	2538		tatoeba
فیزیک	امتحان شامل ریاضیات، فیزیک و شیمی بود.	The exam included mathematics, physics and chemistry.	2538		tatoeba
شامل	امتحان شامل ریاضیات، فیزیک و شیمی بود.	The exam included mathematics, physics and chemistry.	2538		tatoeba
برخی	برخی ستارگان در آسمان شب شروع به پدیدار شدن می کنند.	Some stars began to appear in the night sky.	2539		tatoeba
ستارگان	برخی ستارگان در آسمان شب شروع به پدیدار شدن می کنند.	Some stars began to appear in the night sky.	2539		tatoeba
پدیدار	برخی ستارگان در آسمان شب شروع به پدیدار شدن می کنند.	Some stars began to appear in the night sky.	2539		tatoeba
سیاره	سیاره‌ی ما، زمین، همواره در حرکت است.	Our planet, Earth, is always in motion.	2542		tatoeba
همواره	سیاره‌ی ما، زمین، همواره در حرکت است.	Our planet, Earth, is always in motion.	2542		tatoeba
قدر	امّا چرا فرانسوی این قدر سخت است؟	But why is French so difficult?	2546		tatoeba
قدم	قدم اول به خوبی نصف کار است.	The first step is as good as half over.	2547		tatoeba
اول	قدم اول به خوبی نصف کار است.	The first step is as good as half over.	2547		tatoeba
نصف	قدم اول به خوبی نصف کار است.	The first step is as good as half over.	2547		tatoeba
مرا	هر اشتباه مرا قوی تر کرد.	Every mistake made me stronger.	2549		tatoeba
قوی	هر اشتباه مرا قوی تر کرد.	Every mistake made me stronger.	2549		tatoeba
خوشحال	با تو بودن مرا خوشحال می کند.	Being with you makes me feel happy.	2549		tatoeba
مرا	با تو بودن مرا خوشحال می کند.	Being with you makes me feel happy.	2549		tatoeba
نجات	او زندگی مرا نجات داد.	He saved my life.	2549		tatoeba
مرا	او زندگی مرا نجات داد.	He saved my life.	2549		tatoeba
کودک	گربه من مانند یک کودک است، هر جا می روم مرا دنبال می کند.	My cat is such a baby; she follows me around wherever I go.	2549		tatoeba
دنبال	گربه من مانند یک کودک است، هر جا می روم مرا دنبال می کند.	My cat is such a baby; she follows me around wherever I go.	2549		tatoeba
گربه	گربه من مانند یک کودک است، هر جا می روم مرا دنبال می کند.	My cat is such a baby; she follows me around wherever I go.	2549		tatoeba
دعوت	متشکرم که مرا به سینما دعوت کردی.	Thanks for inviting me to the movies.	2549		tatoeba
سینما	متشکرم که مرا به سینما دعوت کردی.	Thanks for inviting me to the movies.	2549		tatoeba
همراهی	اگر وقت داری، مرا همراهی کن.	Accompany me if you have time.	2549		tatoeba
اگر	اگر وقت داری، مرا همراهی کن.	Accompany me if you have time.	2549		tatoeba
مجبور	امتحان مرا مجبور کرد سخت مطالعه کنم.	The examination compelled me to study hard.	2549		tatoeba
مسجد	آنها مرا به مسجد دعوت کردند.	They invited me into the mosque.	2549		tatoeba
دعوت	آنها مرا به مسجد دعوت کردند.	They invited me into the mosque.	2549		tatoeba
فن	او همه فن حریف است.	He is a jack-of-all-trades.	2566		tatoeba
حریف	او همه فن حریف است.	He is a jack-of-all-trades.	2566		tatoeba
عرضه	عرضه متناسب با تقاضا است.	Supply is relative to demand.	2595		tatoeba
تقاضا	عرضه متناسب با تقاضا است.	Supply is relative to demand.	2595		tatoeba
متناسب	عرضه متناسب با تقاضا است.	Supply is relative to demand.	2595		tatoeba
موج	آیا نور موج است یا ذره؟	Is light a wave or a particle?	2597		tatoeba
نور	آیا نور موج است یا ذره؟	Is light a wave or a particle?	2597		tatoeba
ذره	آیا نور موج است یا ذره؟	Is light a wave or a particle?	2597		tatoeba
ذره	در را یک ذره باز کن.	Open the door a smidge.	2597		tatoeba
ثروت	سلامتی بهتر از ثروت است.	Health over wealth.	2601		tatoeba
سلامتی	سلامتی بهتر از ثروت است.	Health over wealth.	2601		tatoeba
سلامتی	چه چیزی از سلامتی بهتر است؟	What surpasses health?	2601		tatoeba
نیاز	این جمله نیاز به تصحیح دارد.	This sentence needs to be corrected.	2614		tatoeba
جمله	این جمله نیاز به تصحیح دارد.	This sentence needs to be corrected.	2614		tatoeba
تصحیح	این جمله نیاز به تصحیح دارد.	This sentence needs to be corrected.	2614		tatoeba
دوستی	دوری و دوستی.	Absence makes the heart grow fonder.	2619		tatoeba
دوری	دوری و دوستی.	Absence makes the heart grow fonder.	2619		tatoeba
دوری	از ترس دوری کن.	Avoid danger.	2619		tatoeba
شیطان	شیطان همه جا هست.	Evil is everywhere.	2624		tatoeba
فرش	یک فرش بزرگ روی زمین است.	There's a large carpet on the floor.	2625		tatoeba
لذت	هوا لذت بخش بود.	The weather was delightful.	2628		tatoeba
مارک	مارک تجربه سوء استفاده را دارد.	Mark has experienced abuse.	2629		tatoeba
سوء	مارک تجربه سوء استفاده را دارد.	Mark has experienced abuse.	2629		tatoeba
تجربه	مارک تجربه سوء استفاده را دارد.	Mark has experienced abuse.	2629		tatoeba
شکنجه	آن یک شکنجهٔ محض بود.	It was sheer torture.	2631		tatoeba
محض	آن یک شکنجهٔ محض بود.	It was sheer torture.	2631		tatoeba
محض	آن گمان محض است.	That's pure conjecture.	2631		tatoeba
گمان	آن گمان محض است.	That's pure conjecture.	2631		tatoeba
محکم	او به اندازه کافی محکم به نظر می رسید.	He seemed firm enough.	2632		tatoeba
اجتماع	کجا اجتماع می‌کنیم؟	Where are we assembling?	2640		tatoeba
خراب	چرا همه چیز خراب پیش می رود؟	Why is everything going wrong?	2648		tatoeba
دیروز	کامپیوتر من دیروز خراب شد.	My computer was down yesterday.	2648		tatoeba
کامپیوتر	کامپیوتر من دیروز خراب شد.	My computer was down yesterday.	2648		tatoeba
خراب	کامپیوتر من دیروز خراب شد.	My computer was down yesterday.	2648		tatoeba
خراب	کامپیوتر خراب است.	The computer is broken.	2648		tatoeba
زمان	شهر در زمان جنگ خراب شد.	The city was destroyed during the war.	2648		tatoeba
مشکوک	من به همه مشکوک هستم.	I'm suspicious of everybody.	2659		tatoeba
گذاشت	او وی را منتظر گذاشت.	He made her wait.	2661		tatoeba
وی	او وی را منتظر گذاشت.	He made her wait.	2661		tatoeba
منتظر	او وی را منتظر گذاشت.	He made her wait.	2661		tatoeba
گذاشت	وی او را منتظر گذاشت.	He made her wait.	2661		tatoeba
وی	وی او را منتظر گذاشت.	He made her wait.	2661		tatoeba
منتظر	وی او را منتظر گذاشت.	He made her wait.	2661		tatoeba
موقع	موقع رفتن است.	It is time to go.	2663		tatoeba
رفتن	موقع رفتن است.	It is time to go.	2663		tatoeba
توصیف	او ریز واقعه را توصیف کرد.	He described the incident in detail.	2666		tatoeba
ریز	او ریز واقعه را توصیف کرد.	He described the incident in detail.	2666		tatoeba
واقعه	او ریز واقعه را توصیف کرد.	He described the incident in detail.	2666		tatoeba
تند	شیب تند است.	The slope is steep.	2677		tatoeba
شیب	شیب تند است.	The slope is steep.	2677		tatoeba
چاقو	این چاقو خیلی تیز است.	This knife is very sharp.	2678		tatoeba
تیز	این چاقو خیلی تیز است.	This knife is very sharp.	2678		tatoeba
مداد	باید مداد را تیز کنم.	I need to make the pencil sharp.	2678		tatoeba
تیز	باید مداد را تیز کنم.	I need to make the pencil sharp.	2678		tatoeba
پا	دروغ پا ندارد.	A lie has no legs.	2680		tatoeba
دروغ	دروغ پا ندارد.	A lie has no legs.	2680		tatoeba
دروغ	این یک دروغ آشکار است.	That's a blatant lie.	2680		tatoeba
آشکار	این یک دروغ آشکار است.	That's a blatant lie.	2680		tatoeba
امشب	امشب شام چی داریم؟	What do we have for dinner tonight?	2687		tatoeba
چی	امشب شام چی داریم؟	What do we have for dinner tonight?	2687		tatoeba
شام	امشب شام چی داریم؟	What do we have for dinner tonight?	2687		tatoeba
کوشش	من کوشش را تحسین می‌کنم.	I appreciate the effort.	2699		tatoeba
تحسین	من کوشش را تحسین می‌کنم.	I appreciate the effort.	2699		tatoeba
ثمر	کوشش ثمر داد.	The effort paid off.	2699		tatoeba
کوشش	کوشش ثمر داد.	The effort paid off.	2699		tatoeba
وابسته	موفقیت به کوشش وابسته است.	Success depends on effort.	2699		tatoeba
کوشش	موفقیت به کوشش وابسته است.	Success depends on effort.	2699		tatoeba
موفقیت	موفقیت به کوشش وابسته است.	Success depends on effort.	2699		tatoeba
آرامی	او به آرامی کار می کند.	She works slowly.	2701		tatoeba
آرامی	او به آرامی راه می رود.	He walks slowly.	2701		tatoeba
آرامی	به آرامی رانندگی کن.	Drive slowly.	2701		tatoeba
رانندگی	به آرامی رانندگی کن.	Drive slowly.	2701		tatoeba
افسانه	این یک افسانه شهری است.	This is an urban legend.	2704		tatoeba
شهری	این یک افسانه شهری است.	This is an urban legend.	2704		tatoeba
امشب	امشب احتمال دارد او تلفن بزند.	A telephone call from him is probable tonight.	2706		tatoeba
احتمال	امشب احتمال دارد او تلفن بزند.	A telephone call from him is probable tonight.	2706		tatoeba
تلفن	امشب احتمال دارد او تلفن بزند.	A telephone call from him is probable tonight.	2706		tatoeba
بزند	امشب احتمال دارد او تلفن بزند.	A telephone call from him is probable tonight.	2706		tatoeba
کمیته	کمیته تحریم‌ها را برداشت.	The committee lifted the sanctions.	2708		tatoeba
برداشت	کمیته تحریم‌ها را برداشت.	The committee lifted the sanctions.	2708		tatoeba
تحریم	کمیته تحریم‌ها را برداشت.	The committee lifted the sanctions.	2708		tatoeba
گزارش	او این تصادف را به پلیس گزارش کرد	He reported his accident to the police.	2710		tatoeba
تصادف	او این تصادف را به پلیس گزارش کرد	He reported his accident to the police.	2710		tatoeba
عظیم	سیل عظیم بود.	The flood was massive.	2723		tatoeba
سیل	سیل عظیم بود.	The flood was massive.	2723		tatoeba
رودخانه	او در رودخانه غرق شد.	He drowned in the river.	2725		tatoeba
غرق	او در رودخانه غرق شد.	He drowned in the river.	2725		tatoeba
نامزدی	او نامزدی خود را به او اعلام کرد.	She announced her engagement to him.	2732		tatoeba
اعلام	او نامزدی خود را به او اعلام کرد.	She announced her engagement to him.	2732		tatoeba
کارگاه	او از کارگاه برگشت.	He returned from the workshop.	2736		tatoeba
برگشت	او از کارگاه برگشت.	He returned from the workshop.	2736		tatoeba
بیشتر	من خیلی بیشتر احساس آرامش می کردم.	I felt much more relaxed.	2737		tatoeba
آرامش	من خیلی بیشتر احساس آرامش می کردم.	I felt much more relaxed.	2737		tatoeba
کردم	من خیلی بیشتر احساس آرامش می کردم.	I felt much more relaxed.	2737		tatoeba
ملاقات	من کن را در پارک ملاقات کردم.	I met Ken at the park.	2737		tatoeba
پارک	من کن را در پارک ملاقات کردم.	I met Ken at the park.	2737		tatoeba
کردم	من کن را در پارک ملاقات کردم.	I met Ken at the park.	2737		tatoeba
کردم	من زمان را از روی ساعت چک کردم.	I checked the time on the clock.	2737		tatoeba
چک	من زمان را از روی ساعت چک کردم.	I checked the time on the clock.	2737		tatoeba
اعتماد	من به آنها اعتماد کردم.	I trusted them.	2737		tatoeba
میز	من از این میز کار برای ساخت خانه پرنده استفاده کردم.	I used this workbench to construct a birdhouse.	2737		tatoeba
ساخت	من از این میز کار برای ساخت خانه پرنده استفاده کردم.	I used this workbench to construct a birdhouse.	2737		tatoeba
جشن	من در جشن شرکت کردم.	I attended the fest.	2737		tatoeba
شرکت	من در جشن شرکت کردم.	I attended the fest.	2737		tatoeba
افتخار	من خیلی به آن افتخار می‌کردم.	I was very proud of that.	2737		tatoeba
حساب	من روی تو حساب کردم.	I'm counting on you.	2737		tatoeba
نقل	من پس از آن به روستا نقل مکان کردم.	I subsequently moved to the village.	2737		tatoeba
مکان	من پس از آن به روستا نقل مکان کردم.	I subsequently moved to the village.	2737		tatoeba
روستا	من پس از آن به روستا نقل مکان کردم.	I subsequently moved to the village.	2737		tatoeba
پشت	من به پشت نگاه کردم.	I glanced back.	2737		tatoeba
تحمل	درد را تحمل کردم.	I endured the pain.	2737		tatoeba
درد	درد را تحمل کردم.	I endured the pain.	2737		tatoeba
پهن	من یک نقشهٔ بزرگ را روی میز پهن کردم.	I spread the large map out on the table.	2737		tatoeba
نقشه	من یک نقشهٔ بزرگ را روی میز پهن کردم.	I spread the large map out on the table.	2737		tatoeba
لغو	اجاره را لغو کنید.	Abolish rent.	2739		tatoeba
اجاره	اجاره را لغو کنید.	Abolish rent.	2739		tatoeba
زود	الآن هم هنوز زود است که راجع به آن صحبت کنیم.	It's still too early to talk about this now.	2751		tatoeba
راجع	الآن هم هنوز زود است که راجع به آن صحبت کنیم.	It's still too early to talk about this now.	2751		tatoeba
مسائل	خیلی از دانشمندان بزرگ راجع به مسائل عجیب و غیر معمول فکر کرده بودند.	Many great scientists had thought about absurd things.	2751		tatoeba
دانشمندان	خیلی از دانشمندان بزرگ راجع به مسائل عجیب و غیر معمول فکر کرده بودند.	Many great scientists had thought about absurd things.	2751		tatoeba
عجیب	خیلی از دانشمندان بزرگ راجع به مسائل عجیب و غیر معمول فکر کرده بودند.	Many great scientists had thought about absurd things.	2751		tatoeba
راجع	خیلی از دانشمندان بزرگ راجع به مسائل عجیب و غیر معمول فکر کرده بودند.	Many great scientists had thought about absurd things.	2751		tatoeba
بودند	خیلی از دانشمندان بزرگ راجع به مسائل عجیب و غیر معمول فکر کرده بودند.	Many great scientists had thought about absurd things.	2751		tatoeba
معمول	خیلی از دانشمندان بزرگ راجع به مسائل عجیب و غیر معمول فکر کرده بودند.	Many great scientists had thought about absurd things.	2751		tatoeba
لغت	این لغت نامه ی من است.	That is my dictionary.	2759		tatoeba
لغت	لغت پایه زبان است.	Vocabulary is the basis of language.	2759		tatoeba
پایه	لغت پایه زبان است.	Vocabulary is the basis of language.	2759		tatoeba
مرغ	آنها تخمِ مرغ هستند.	They're eggs.	2761		tatoeba
یه	این یه جمله نیست.	This is not a sentence.	2768		tatoeba
جمله	این یه جمله نیست.	This is not a sentence.	2768		tatoeba
قرار	کتابی را که بر روی آن میز قرار دارد بردار.	Take the book which is lying on that table.	2773		tatoeba
بردار	کتابی را که بر روی آن میز قرار دارد بردار.	Take the book which is lying on that table.	2773		tatoeba
کتابی	کتابی را که بر روی آن میز قرار دارد بردار.	Take the book which is lying on that table.	2773		tatoeba
قدم	از یک کنار قدم بردار.	Step aside.	2773		tatoeba
بردار	از یک کنار قدم بردار.	Step aside.	2773		tatoeba
